KODE,"PROGRAM/ KEGIATAN/ KRO/ RO/ KOMPONEN/
SUBKOMP/ DETIL",PERHITUNGAN TAHUN 2026,,,,JANUARI,,,,FEBRUARI,,,,MARET,,,,APRIL,,,,MEI,,,,JUNI,,,,JULI,,,,AGUSTUS,,,,SEPTEMBER,,,,OKTOBER,,,,NOVEMBER,,,,DESEMBER,,,,REALISASI,SISA
,,VOLUME,PKT,HARGA SATUAN,JUMLAH BIAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
('1),('2),('3),('4),('5),('6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7937.EBA.994 ,Layanan Perkantoran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,Operasional dan Pemeliharaan Kantor,,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,MINGGU,,,,,
F,Operasional Perkantoran,,,,309294692000,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,309294692000
521111,Belanja Keperluan Perkantoran,,,,_-* 48942000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48942000000
,Keperluan Sehari-hari Perkantoran [1 pkt x 12 bln x 300],3600,PKT,12000000,_-* 43200000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43200000000
,Biaya Retrebusi Sampah [1 pkt x 12 bln x 300 lok],3600,PKT,1595000,_-* 5742000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5742000000
522191,Belanja jasa Lainnya,,,,_-* 186552692000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,186552692000
,Instalasi Air Pantek SUmur Bor 1 titik [1 pkt x 1 kl x 300],300,PKT,_-* 199086000_-,_-* 59725800000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59725800000
,Tambah Daya Listrik [1 pkt x 1 kl x 300 lok],300,PKT,_-* 40000000_-,_-* 12000000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12000000000
522111,Pembayaran Listrik [1 pkt x 12 bln x 300 lok],3600,PKT,_-* 15000000_-,_-* 54000000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54000000000
,Pembayaran Telpon [1 pkt x 12 bln x 300 lok],3600,PKT,_-* 1000000_-,_-* 3600000000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3600000000
,Pembayaran PAM [1 pkt x 12 bln x 300 lok],3600,PKT,_-* 15895110_-,_-* 57222396000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57222396000
,Jasa Pos,1,PKT,_-* 4496000_-,_-* 4496000_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4496000
522141,Belanja Sewa,,,,73800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,73800000000
,Sewa Kendaraan [1 pkt x 12 bln x 300 lok],3600,PKT,15000000,54000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54000000000
,Sewa Mesin Fotocopy [1 pkt x 12 bln x 300 lok],3600,PKT,5500000,19800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19800000000
