,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,027.01.DQ,,Program Perlindungan Sosial,,,,,,2097544232000,,,,,,,,,,,,,,,,
,7936,,Penyelenggaraan Program Sekolah Rakyat,,,,,,2088632535000,,,,,,,,,,,,,,,,
,7936.SBC,,Pendidikan Dasar[Penambahan alokasi dari SABA 999.08 ke 9A],,,,,,21502843000,702852000,_(* 3.27_),1354727491,_(* 6.30_),20799991000,20148115509,,,,,,,,,,
,,,Lokasi : KOTA JAKARTA PUSAT,,,,,,,,,,,,,,,,,,,,,,
,302,,Sekolah Rakyat Terintegrasi 2 Banyuwangi ,,,,,,2060121000,44809500,,172139900,,_(* 2015311500_),_(* 1887981100_),,,,,,,,,,
,A,,Kegiatan Belajar Mengajar,,,,,,90140000,0,,10371000,,_(* 90140000_),_(* 79769000_),,,,,,,,,,
,521211,,Belanja Bahan,,,,,,82140000,0,,6871000,,_(* 82140000_),_(* 75269000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,ATK Kelas [1 PKT x 12 BLN x 1 ROM],,12,OK,500000,6000000,,,,,_(* 6000000_),_(* 6000000_),,,,,,,,,,
,,,  - ,Buku Pegangan Guru [1 PKT x 2 SMT x 1 LOK],,2,OK,2000000,4000000,,,,,_(* 4000000_),_(* 4000000_),,,,,,,,,,
,,,  - ,Buku Penunjang Kegiatan Belajar Mengajar [5 PKT x 2 SMT x 1 LOK],,10,OK,500000,5000000,,,,,_(* 5000000_),_(* 5000000_),,,,,,,,,,
,,,  - ,Penggandaan Soal [25 ORG x 4 KEG x 1 ROM],,100,OK,25000,2500000,,,725000,,_(* 2500000_),_(* 1775000_),,,,,,,,,,
,,,  - ,Konsumsi Rapat Eksternal [40 ORG x 4 KEG x 2 HR x 1 LOK,,320,OK,53000,16960000,,,3920000,,_(* 16960000_),_(* 13040000_),,,,,,,,,,
,,,  - ,Snack Rapat Eksternal [40 ORG x 4 KEG x 2 HR x 1 LOK,,320,OK,24000,7680000,,,1600000,,_(* 7680000_),_(* 6080000_),,,,,,,,,,
,,,  - ,Media Pembelajaran dan laporan perekembangan siswa [25 ORG x 2 PKT x 1 ROM],,50,OK,800000,40000000,,,626000,,_(* 40000000_),_(* 39374000_),,,,,,,,,,
,522151,,Belanja Jasa Profesi,,,,,,8000000,0,,3500000,,_(* 8000000_),_(* 4500000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Honor Instruktur [4 ORG x 2 Jam x 1 ROM],,8,OK,500000,4000000,,,3500000,,_(* 4000000_),_(* 500000_),,,,,,,,,,
,,,  - ,Honor Narasumber [4 ORG x 2 Jam],,8,OK,500000,4000000,,,,,_(* 4000000_),_(* 4000000_),,,,,,,,,,
,B,,Praktikum Komunitas,,,,,,13750000,0,,0,,_(* 13750000_),_(* 13750000_),isi yang bener,,,,,,,,,
,521211,,Belanja Bahan,,,,,,3750000,0,,0,,_(* 3750000_),_(* 3750000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Snack dan Konsumsi Peserta [25 ORG x 2 keg x 1 Rom],,50,OK,53000,2650000,,,,,_(* 2650000_),_(* 2650000_),,,,,,,,,,
,,,  - ,Dokumentasi Pelaporan [1 KEG x 2 LOK],,2,OK,250000,500000,,,,,_(* 500000_),_(* 500000_),,,,,,,,,,
,,,  - ,Spanduk [1 KEG x 2 LOK],,2,OK,300000,600000,,,,,_(* 600000_),_(* 600000_),,,,,,,,,,
,521213,,Belanja Honor Output Kegiatan,,,,,,2000000,,,,,_(* 2000000_),_(* 2000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Honor Pemandu Praktikum [2 ORG x 2 KEG x 1 ROM],,4,OK,500000,2000000,,,,,_(* 2000000_),_(* 2000000_),,,,,,,,,,
,522141,,Belanja Sewa,,,,,,8000000,0,,0,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Sewa Bus [1 UNIT x 2 keg x 1 ROm],,2,OK,4000000,8000000,,,,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,C,,Kegiatan Krida,,,,,,30400000,0,,0,,_(* 30400000_),_(* 30400000_),,,,,,,,,,
,521211,,Belanja Bahan,,,,,,20400000,0,,0,,_(* 20400000_),_(* 20400000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
