
,RAB (RINCIAN ANGGARAN BIAYA),,,,,
,"SEKOLAH RAKYAT 1 A PADA PPK 3 PUSAT PENDIDIKAN, PELATIHAN, DAN PENGEMBANGAN PROFESI",,,,,
,TAHUN ANGGARAN 2026,,,,,
,Nama Sekolah, : SRT 3 Pasuruan,,,,
,Lokasi, : Jl. Hayam Wuruk No.14 Kecamatan Purworejo Pasuruan,,,,
,Jenjang, : SMP dan SMA,,,,
,Nama Kegiatan,: Usulan Dana untuk Honor Kegiatan Ekstrakulikuler SRT 3 Pasuruan PPK 3,,,,


,Kode Program/Kegiatan/Komponen/Sub Komponen/Akun,Jenis Belanja/Uraian,Kuantitas,Sat,H Satuan,Jumlah
,01,02,03,04,05,06
,,,,,,
,SBE,,,,,
,7936.101,,,,,
,303,Sekolah Rakyat Terintegrasi 3 Pasuruan,,,,
,A,Kegiatan Belajar Mengajar,,,,_-* 4000000_-
,522151,Belanja Jasa Profesi,,,,_-* 4000000_-
,,Honor Instruktur Ekstrakulikuler Juni-Juli [8 ORG x 1KEG x 1LOK],8,OK,_-* 500000_-,_-* 4000000_-
,,,,,,
,SBB,,,,,
,7936.101,,,,,
,303,Sekolah Rakyat Terintegrasi 3 Pasuruan,,,,
,A,Kegiatan Belajar Mengajar,,,,_-* 4000000_-
,522151,Belanja Jasa Profesi,,,,_-* 4000000_-
,,Honor Instruktur Ekstrakulikuler [8 ORG x 1KEG x 1LOK],8,OK,_-* 500000_-,_-* 4000000_-
,,,,,,
,JUMLAH TOTAL RAB ,,,,,_-* 8000000_-,,_-* 8000000_-
,,,,,,,,
,,,,,,,,
,,,,,"Pasuruan, 26 Mei 2026",,,
,,,,,"Yang mengajukan,",,,
,,,,,Kepala SRT 3 Pasuruan,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,"Julianto, S.Pd.",,,
,,,,,NIP. 197304282008011006,,,
,,,,,,
